Var1;Var2;value;Source;Target;weight
slow wave sleep;AHI;-0.010649537;49;2;0
sleep breathing disorders;AHI;0;50;2;0
upper airway obstruction;AHI;0.039751443;51;2;0
motor vehicle accidents;AHI;0;52;2;0
sleep wake cycle;AHI;-0.041196967;53;2;0
circadian rhythm sleep;AHI;-0.029191781;54;2;0
Neurophysiology;AHI;-0.02566855;55;2;0
patients moderate severe;AHI;0.139389134;56;2;0.139389134
sleep habits questionnaire;AHI;-0.030097421;57;2;0
VAS;AHI;0;58;2;0
patients mild moderate;AHI;0.101924446;59;2;0.101924446
activities daily living;AHI;-0.024549529;60;2;0
index sleepiness scale;AHI;0;61;2;0
difficulty falling asleep;AHI;-0.036592525;62;2;0
heart rate variability;AHI;0;63;2;0
sleepiness scale score;AHI;0.105327026;64;2;0.105327026
patients obstructive syndrome;AHI;0.078220494;65;2;0
UPDRS;AHI;-0.037160392;66;2;0
Classification of sleep disorders;AHI;-0.024443008;67;2;0
sleep disorders common;AHI;-0.022784631;68;2;0
sleep index sleepiness;AHI;-0.032623077;69;2;0
sleep time sleep;AHI;0;70;2;0
mild moderate severe;AHI;0.102481826;71;2;0.102481826
HAD;AHI;-0.018698596;72;2;0
sleepiness sleepiness scale;AHI;0.013500661;73;2;0
Classification of sleep disorders;AHI;-0.022462148;67;2;0
sleep disorder characterized;AHI;-0.030502895;75;2;0
quality index sleepiness;AHI;-0.035927148;76;2;0
CPAP;ESS;0.110489063;1;3;0.110489063
AHI;ESS;0.306211628;2;3;0.306211628
OSAS;ESS;0.233722024;4;3;0.233722024
PD;ESS;0.029492053;5;3;0
RLS;ESS;-0.007990778;6;3;0
ADHD;ESS;-0.062917529;7;3;0
SDB;ESS;0.005042319;8;3;0
EDS;ESS;-0.05043214;9;3;0
PSG;ESS;0.164323765;10;3;0.164323765
REM;ESS;-0.068037554;11;3;0
EEG;ESS;-0.121748989;12;3;0.121748989
Insomnia;ESS;-0.037535585;13;3;0
QoL;ESS;0.075061168;14;3;0
Arousal;ESS;-0.032965337;15;3;0
PSQI;ESS;0.308666141;16;3;0.308666141
MSLT;ESS;-0.035708662;17;3;0
Narcolepsy;ESS;-0.116701824;18;3;0.116701824
PVT;ESS;-0.056395822;19;3;0
Hypersomnia;ESS;-0.046898728;20;3;0
Sleep Quality;ESS;0.129977143;21;3;0.129977143
RDI;ESS;0.074680581;22;3;0
BMI;ESS;0.214500385;23;3;0.214500385
children;ESS;-0.074556123;24;3;0
MWT;ESS;0.051794388;25;3;0
ISI;ESS;0.139221267;26;3;0.139221267
TST;ESS;-0.043416309;27;3;0
BDI;ESS;0.153566603;28;3;0.153566603
KSS;ESS;-0.087660525;29;3;0.087660525
Sleep Duration;ESS;-0.073883076;30;3;0
ERP;ESS;-0.02844238;31;3;0
FOSQ;ESS;0.125843607;32;3;0.125843607
Neuropsy;ESS;-0.034028571;33;3;0
ODI;ESS;0.11785663;34;3;0.11785663
SF36;ESS;0.14008597;35;3;0.14008597
traumatic brain injury;ESS;0;36;3;0
FSS;ESS;0.127484587;37;3;0.127484587
Sleep Behavior;ESS;-0.047157449;38;3;0
SSS;ESS;0;39;3;0
night time sleep;ESS;0;40;3;0
MRI;ESS;0;41;3;0
sleep wake disturbances;ESS;0;42;3;0
parasomnia;ESS;-0.061698786;43;3;0
lowest oxygen saturation;ESS;0.085747595;44;3;0.085747595
upper airway resistance;ESS;0;45;3;0
prevalence sleep disorders;ESS;0;46;3;0
Nervous system;ESS;-0.069049219;47;3;0
stop bang questionnaire;ESS;0.09990745;48;3;0.09990745
slow wave sleep;ESS;-0.048860208;49;3;0
sleep breathing disorders;ESS;-0.01306747;50;3;0
upper airway obstruction;ESS;-0.012391708;51;3;0
motor vehicle accidents;ESS;0;52;3;0
sleep wake cycle;ESS;-0.041893562;53;3;0
circadian rhythm sleep;ESS;-0.036106515;54;3;0
Neurophysiology;ESS;-0.032837388;55;3;0
patients moderate severe;ESS;0.061068954;56;3;0
sleep habits questionnaire;ESS;-0.038975193;57;3;0
VAS;ESS;0.040871857;58;3;0
patients mild moderate;ESS;0.053777109;59;3;0
activities daily living;ESS;0;60;3;0
index sleepiness scale;ESS;0.115738765;61;3;0.115738765
difficulty falling asleep;ESS;-0.04102983;62;3;0
heart rate variability;ESS;-0.023020518;63;3;0
sleepiness scale score;ESS;0.122338236;64;3;0.122338236
patients obstructive syndrome;ESS;0.057912066;65;3;0
UPDRS;ESS;0.063999341;66;3;0
Classification of sleep disorders;ESS;-0.020163498;67;3;0
sleep disorders common;ESS;0;68;3;0
sleep index sleepiness;ESS;0.109568874;69;3;0.109568874
sleep time sleep;ESS;0;70;3;0
mild moderate severe;ESS;0.057326101;71;3;0
HAD;ESS;0.093883077;72;3;0.093883077
sleepiness sleepiness scale;ESS;0.061626501;73;3;0
Classification of sleep disorders;ESS;-0.020969147;67;3;0
sleep disorder characterized;ESS;-0.04908981;75;3;0
quality index sleepiness;ESS;0.112589244;76;3;0.112589244
AHI;PSG;0.350444271;2;10;0.350444271
PSG;AHI;0.350444271;10;2;0.350444271
ESS;OSAS;0.233722024;3;4;0.233722024
PD;OSAS;-0.126009976;5;4;0.126009976
RLS;OSAS;-0.029588275;6;4;0
ADHD;OSAS;-0.061383953;7;4;0
SDB;OSAS;0;8;4;0
EDS;OSAS;0;9;4;0
PSG;OSAS;0.325097907;10;4;0.325097907
REM;OSAS;0;11;4;0
EEG;OSAS;-0.104821278;12;4;0.104821278
Insomnia;OSAS;-0.107157045;13;4;0.107157045
QoL;OSAS;0.032960639;14;4;0
Arousal;OSAS;0;15;4;0
PSQI;OSAS;-0.103706749;16;4;0.103706749
MSLT;OSAS;-0.061092578;17;4;0
Narcolepsy;OSAS;-0.119080452;18;4;0.119080452
PVT;OSAS;-0.070923317;19;4;0
Hypersomnia;OSAS;-0.05239565;20;4;0
Sleep Quality;OSAS;-0.138554821;21;4;0.138554821
RDI;OSAS;0.133352629;22;4;0.133352629
BMI;OSAS;0.300359067;23;4;0.300359067
children;OSAS;-0.068467785;24;4;0
MWT;OSAS;0;25;4;0
ISI;OSAS;-0.059973963;26;4;0
TST;OSAS;-0.121439197;27;4;0.121439197
BDI;OSAS;0;28;4;0
KSS;OSAS;-0.108530502;29;4;0.108530502
Sleep Duration;OSAS;-0.138519629;30;4;0.138519629
ERP;OSAS;0;31;4;0
FOSQ;OSAS;0.097666945;32;4;0.097666945
Neuropsy;OSAS;-0.029099869;33;4;0
ODI;OSAS;0.165567976;34;4;0.165567976
SF36;OSAS;0.028519563;35;4;0
traumatic brain injury;OSAS;-0.041200448;36;4;0
FSS;OSAS;-0.036468557;37;4;0
Sleep Behavior;OSAS;-0.079453056;38;4;0
SSS;OSAS;-0.072176622;39;4;0
night time sleep;OSAS;-0.042244704;40;4;0
MRI;OSAS;-0.035168321;41;4;0
sleep wake disturbances;OSAS;-0.044204083;42;4;0
parasomnia;OSAS;-0.027250222;43;4;0
lowest oxygen saturation;OSAS;0.109796804;44;4;0.109796804
upper airway resistance;OSAS;0.055204471;45;4;0
prevalence sleep disorders;OSAS;0;46;4;0
Nervous system;OSAS;-0.039099169;47;4;0
stop bang questionnaire;OSAS;0.111620416;48;4;0.111620416
slow wave sleep;OSAS;-0.04011603;49;4;0
sleep breathing disorders;OSAS;0.052522612;50;4;0
upper airway obstruction;OSAS;0.094323898;51;4;0.094323898
motor vehicle accidents;OSAS;0.036710234;52;4;0
sleep wake cycle;OSAS;-0.059246783;53;4;0
circadian rhythm sleep;OSAS;-0.037147655;54;4;0
Neurophysiology;OSAS;-0.025175479;55;4;0
patients moderate severe;OSAS;0.134528312;56;4;0.134528312
sleep habits questionnaire;OSAS;-0.054664346;57;4;0
VAS;OSAS;-0.039498302;58;4;0
patients mild moderate;OSAS;0.103071161;59;4;0.103071161
activities daily living;OSAS;-0.033886374;60;4;0
index sleepiness scale;OSAS;-0.027502075;61;4;0
difficulty falling asleep;OSAS;-0.036110518;62;4;0
heart rate variability;OSAS;-0.017712577;63;4;0
sleepiness scale score;OSAS;0.06119592;64;4;0
patients obstructive syndrome;OSAS;0.13087144;65;4;0.13087144
UPDRS;OSAS;-0.057349097;66;4;0
Classification of sleep disorders;OSAS;-0.027965765;67;4;0
sleep disorders common;OSAS;0;68;4;0
sleep index sleepiness;OSAS;-0.04520024;69;4;0
sleep time sleep;OSAS;-0.032144554;70;4;0
mild moderate severe;OSAS;0.098612476;71;4;0.098612476
HAD;OSAS;-0.02183457;72;4;0
sleepiness sleepiness scale;OSAS;0;73;4;0
Classification of sleep disorders;OSAS;-0.029730483;67;4;0
sleep disorder characterized;OSAS;-0.026559371;75;4;0
quality index sleepiness;OSAS;-0.042845766;76;4;0
CPAP;PD;-0.077210815;1;5;0
AHI;PD;-0.091798481;2;5;0.091798481
ESS;PD;0.029492053;3;5;0
OSAS;PD;-0.126009976;4;5;0.126009976
RLS;PD;0.089361799;6;5;0.089361799
ADHD;PD;-0.02344177;7;5;0
SDB;PD;-0.037396292;8;5;0
EDS;PD;0.099913567;9;5;0.099913567
PSG;PD;-0.037639163;10;5;0
REM;PD;0.179771297;11;5;0.179771297
EEG;PD;-0.046408815;12;5;0
Insomnia;PD;0.004025469;13;5;0
QoL;PD;0.056583321;14;5;0
Arousal;PD;-0.024949691;15;5;0
PSQI;PD;0.011212641;16;5;0
MSLT;PD;0;17;5;0
Narcolepsy;PD;-0.018506288;18;5;0
PVT;PD;-0.032769039;19;5;0
Hypersomnia;PD;-0.020021007;20;5;0
Sleep Quality;PD;0;21;5;0
RDI;PD;-0.035244965;22;5;0
BMI;PD;-0.078113879;23;5;0
children;PD;-0.032522789;24;5;0
MWT;PD;0;25;5;0
ISI;PD;0;26;5;0
TST;PD;-0.036367583;27;5;0
BDI;PD;0.044091197;28;5;0
KSS;PD;-0.029538573;29;5;0
Sleep Duration;PD;-0.056063453;30;5;0
ERP;PD;0;31;5;0
FOSQ;PD;-0.027871372;32;5;0
Neuropsy;PD;0.078861512;33;5;0
ODI;PD;-0.033344504;34;5;0
SF36;PD;0;35;5;0
traumatic brain injury;PD;0;36;5;0
FSS;PD;0;37;5;0
Sleep Behavior;PD;0.260021128;38;5;0.260021128
SSS;PD;-0.021487566;39;5;0
night time sleep;PD;0.041179719;40;5;0
MRI;PD;0.018875934;41;5;0
sleep wake disturbances;PD;0.022824773;42;5;0
parasomnia;PD;0;43;5;0
lowest oxygen saturation;PD;0;44;5;0
upper airway resistance;PD;0;45;5;0
prevalence sleep disorders;PD;0;46;5;0
Nervous system;PD;0;47;5;0
stop bang questionnaire;PD;0;48;5;0
slow wave sleep;PD;0;49;5;0
sleep breathing disorders;PD;0;50;5;0
upper airway obstruction;PD;0;51;5;0
motor vehicle accidents;PD;0;52;5;0
sleep wake cycle;PD;0;53;5;0
circadian rhythm sleep;PD;0;54;5;0
Neurophysiology;PD;0;55;5;0
patients moderate severe;PD;-0.020471924;56;5;0
sleep habits questionnaire;PD;-0.021311672;57;5;0
VAS;PD;-0.02669298;58;5;0
patients mild moderate;PD;0;59;5;0
activities daily living;PD;0.073686838;60;5;0
index sleepiness scale;PD;0;61;5;0
difficulty falling asleep;PD;0;62;5;0
heart rate variability;PD;0;63;5;0
sleepiness scale score;PD;0;64;5;0
patients obstructive syndrome;PD;-0.023890865;65;5;0
index sleepiness scale;sleep index sleepiness;0.371410535;61;69;0.371410535
Classification of sleep disorders;PD;0.013559913;67;5;0
sleep disorders common;PD;0.073936909;68;5;0
sleep index sleepiness;PD;0;69;5;0
sleep time sleep;PD;0;70;5;0
mild moderate severe;PD;-0.021217323;71;5;0
HAD;PD;0.024799863;72;5;0
sleepiness sleepiness scale;PD;0;73;5;0
Classification of sleep disorders;PD;0.013806662;67;5;0
sleep disorder characterized;PD;-0.015571477;75;5;0
quality index sleepiness;PD;0;76;5;0
CPAP;RLS;-0.059014891;1;6;0
AHI;RLS;-0.071934172;2;6;0
ESS;RLS;-0.007990778;3;6;0
OSAS;RLS;-0.029588275;4;6;0
PD;RLS;0.089361799;5;6;0.089361799
ADHD;RLS;0;7;6;0
SDB;RLS;0;8;6;0
EDS;RLS;0;9;6;0
PSG;RLS;0;10;6;0
REM;RLS;0;11;6;0
EEG;RLS;-0.034166312;12;6;0
Insomnia;RLS;0.156449858;13;6;0.156449858
QoL;RLS;0.02886235;14;6;0
Arousal;RLS;0;15;6;0
PSQI;RLS;0.056286618;16;6;0
MSLT;RLS;0;17;6;0
Narcolepsy;RLS;0.012390981;18;6;0
PVT;RLS;-0.038070155;19;6;0
Hypersomnia;RLS;0;20;6;0
Sleep Quality;RLS;0.062353051;21;6;0
RDI;RLS;-0.018921254;22;6;0
BMI;RLS;0;23;6;0
children;RLS;0;24;6;0
MWT;RLS;-0.020046426;25;6;0
ISI;RLS;0;26;6;0
TST;RLS;0;27;6;0
BDI;RLS;0.019777023;28;6;0
KSS;RLS;-0.041439849;29;6;0
Sleep Duration;RLS;0;30;6;0
ERP;RLS;0;31;6;0
FOSQ;RLS;0;32;6;0
Neuropsy;RLS;0;33;6;0
ODI;RLS;-0.031680225;34;6;0
SF36;RLS;0.0049181;35;6;0
traumatic brain injury;RLS;0;36;6;0
FSS;RLS;0.008398081;37;6;0
Sleep Behavior;RLS;0.127213438;38;6;0.127213438
SSS;RLS;0;39;6;0
night time sleep;RLS;0;40;6;0
MRI;RLS;0;41;6;0
sleep wake disturbances;RLS;0;42;6;0
parasomnia;RLS;0;43;6;0
lowest oxygen saturation;RLS;0;44;6;0
upper airway resistance;RLS;0;45;6;0
prevalence sleep disorders;RLS;0.103443425;46;6;0.103443425
Nervous system;RLS;0;47;6;0
stop bang questionnaire;RLS;0;48;6;0
slow wave sleep;RLS;0;49;6;0
sleep breathing disorders;RLS;0;50;6;0
upper airway obstruction;RLS;0;51;6;0
motor vehicle accidents;RLS;0;52;6;0
sleep wake cycle;RLS;0;53;6;0
circadian rhythm sleep;RLS;0;54;6;0
Neurophysiology;RLS;0;55;6;0
patients moderate severe;RLS;0;56;6;0
sleep habits questionnaire;RLS;0;57;6;0
VAS;RLS;-0.034389024;58;6;0
patients mild moderate;RLS;0;59;6;0
activities daily living;RLS;0;60;6;0
index sleepiness scale;RLS;0;61;6;0
difficulty falling asleep;RLS;0;62;6;0
heart rate variability;RLS;0;63;6;0
sleepiness scale score;RLS;0;64;6;0
patients obstructive syndrome;RLS;-0.025907919;65;6;0
UPDRS;RLS;0;66;6;0
Classification of sleep disorders;RLS;0;67;6;0
sleep disorders common;RLS;0.114755503;68;6;0.114755503
sleep index sleepiness;RLS;0.020129359;69;6;0
sleep time sleep;RLS;0;70;6;0
mild moderate severe;RLS;0;71;6;0
HAD;RLS;0;72;6;0
sleepiness sleepiness scale;RLS;0;73;6;0
Classification of sleep disorders;RLS;0;67;6;0
sleep disorder characterized;RLS;0;75;6;0
quality index sleepiness;RLS;0;76;6;0
CPAP;ADHD;-0.039537252;1;7;0
AHI;ADHD;-0.043821804;2;7;0
ESS;ADHD;-0.062917529;3;7;0
OSAS;ADHD;-0.061383953;4;7;0
PD;ADHD;-0.02344177;5;7;0
RLS;ADHD;0;6;7;0
SDB;ADHD;0;8;7;0
EDS;ADHD;0.028794855;9;7;0
PSG;ADHD;0;10;7;0
REM;ADHD;-0.011944112;11;7;0
EEG;ADHD;0;12;7;0
Insomnia;ADHD;0;13;7;0
QoL;ADHD;0;14;7;0
Arousal;ADHD;0;15;7;0
PSQI;ADHD;0;16;7;0
MSLT;ADHD;0;17;7;0
Narcolepsy;ADHD;0;18;7;0
PVT;ADHD;0;19;7;0
Hypersomnia;ADHD;0;20;7;0
Sleep Quality;ADHD;0;21;7;0
RDI;ADHD;0;22;7;0
BMI;ADHD;-0.038058164;23;7;0
children;ADHD;0.100414093;24;7;0.100414093
MWT;ADHD;0;25;7;0
ISI;ADHD;0;26;7;0
TST;ADHD;0.025879266;27;7;0
BDI;ADHD;0;28;7;0
KSS;ADHD;0;29;7;0
Sleep Duration;ADHD;0.032788183;30;7;0
ERP;ADHD;0;31;7;0
FOSQ;ADHD;0;32;7;0
Neuropsy;ADHD;0.066556603;33;7;0
ODI;ADHD;0;34;7;0
SF36;ADHD;0;35;7;0
traumatic brain injury;ADHD;0;36;7;0
FSS;ADHD;0;37;7;0
Sleep Behavior;ADHD;0.000823702;38;7;0
SSS;ADHD;0;39;7;0
night time sleep;ADHD;0;40;7;0
MRI;ADHD;0;41;7;0
sleep wake disturbances;ADHD;0;42;7;0
parasomnia;ADHD;0.082176345;43;7;0
lowest oxygen saturation;ADHD;0;44;7;0
upper airway resistance;ADHD;0;45;7;0
prevalence sleep disorders;ADHD;0.008304146;46;7;0
Nervous system;ADHD;0;47;7;0
stop bang questionnaire;ADHD;0;48;7;0
slow wave sleep;ADHD;0;49;7;0
sleep breathing disorders;ADHD;0;50;7;0
upper airway obstruction;ADHD;0;51;7;0
motor vehicle accidents;ADHD;0;52;7;0
sleep wake cycle;ADHD;0;53;7;0
circadian rhythm sleep;ADHD;0.01559028;54;7;0
Neurophysiology;ADHD;0;55;7;0
patients moderate severe;ADHD;0;56;7;0
sleep habits questionnaire;ADHD;0.080587133;57;7;0
VAS;ADHD;-0.023132808;58;7;0
patients mild moderate;ADHD;0;59;7;0
activities daily living;ADHD;0;60;7;0
index sleepiness scale;ADHD;0;61;7;0
difficulty falling asleep;ADHD;0;62;7;0
heart rate variability;ADHD;0;63;7;0
sleepiness scale score;ADHD;0;64;7;0
patients obstructive syndrome;ADHD;0;65;7;0
UPDRS;ADHD;0;66;7;0
Classification of sleep disorders;ADHD;0.011408538;67;7;0
sleep disorders common;ADHD;0;68;7;0
sleep index sleepiness;ADHD;0;69;7;0
sleep time sleep;ADHD;0;70;7;0
mild moderate severe;ADHD;0;71;7;0
HAD;ADHD;0;72;7;0
sleepiness sleepiness scale;ADHD;0;73;7;0
Classification of sleep disorders;ADHD;0.011557271;67;7;0
sleep disorder characterized;ADHD;0;75;7;0
quality index sleepiness;ADHD;0;76;7;0
CPAP;SDB;0;1;8;0
AHI;SDB;0.093465946;2;8;0.093465946
ESS;SDB;0.005042319;3;8;0
OSAS;SDB;0;4;8;0
PD;SDB;-0.037396292;5;8;0
RLS;SDB;0;6;8;0
ADHD;SDB;0;7;8;0
EDS;SDB;0.065135452;9;8;0
PSG;SDB;0.109958186;10;8;0.109958186
REM;SDB;0.004672662;11;8;0
EEG;SDB;0;12;8;0
Insomnia;SDB;0;13;8;0
QoL;SDB;0;14;8;0
Arousal;SDB;0;15;8;0
PSQI;SDB;-0.030357811;16;8;0
MSLT;SDB;0;17;8;0
Narcolepsy;SDB;-0.052703191;18;8;0
PVT;SDB;-0.028894744;19;8;0
Hypersomnia;SDB;0;20;8;0
Sleep Quality;SDB;-0.026964106;21;8;0
RDI;SDB;0.104121987;22;8;0.104121987
BMI;SDB;0.083291027;23;8;0
children;SDB;0.075068119;24;8;0
MWT;SDB;0;25;8;0
ISI;SDB;0;26;8;0
TST;SDB;0;27;8;0
BDI;SDB;0;28;8;0
KSS;SDB;-0.040513801;29;8;0
Sleep Duration;SDB;0;30;8;0
ERP;SDB;0;31;8;0
FOSQ;SDB;0;32;8;0
Neuropsy;SDB;0;33;8;0
ODI;SDB;0.056435976;34;8;0
SF36;SDB;0;35;8;0
traumatic brain injury;SDB;0;36;8;0
FSS;SDB;0;37;8;0
Sleep Behavior;SDB;0;38;8;0
SSS;SDB;-0.021629743;39;8;0
night time sleep;SDB;0;40;8;0
MRI;SDB;0;41;8;0
sleep wake disturbances;SDB;0;42;8;0
parasomnia;SDB;0.077730823;43;8;0
lowest oxygen saturation;SDB;0;44;8;0
upper airway resistance;SDB;0.080683698;45;8;0
prevalence sleep disorders;SDB;0;46;8;0
Nervous system;SDB;0;47;8;0
stop bang questionnaire;SDB;0.012983916;48;8;0
slow wave sleep;SDB;0;49;8;0
sleep breathing disorders;SDB;0;50;8;0
upper airway obstruction;SDB;0;51;8;0
motor vehicle accidents;SDB;0;52;8;0
sleep wake cycle;SDB;0;53;8;0
circadian rhythm sleep;SDB;0;54;8;0
Neurophysiology;SDB;0;55;8;0
patients moderate severe;SDB;0;56;8;0
sleep habits questionnaire;SDB;0.08509914;57;8;0
VAS;SDB;0;58;8;0
patients mild moderate;SDB;0;59;8;0
activities daily living;SDB;0;60;8;0
index sleepiness scale;SDB;-0.022319943;61;8;0
difficulty falling asleep;SDB;0;62;8;0
heart rate variability;SDB;0;63;8;0
sleepiness scale score;SDB;0;64;8;0
patients obstructive syndrome;SDB;0;65;8;0
UPDRS;SDB;0;66;8;0
Classification of sleep disorders;SDB;0;67;8;0
sleep disorders common;SDB;0;68;8;0
sleep index sleepiness;SDB;-0.0213755;69;8;0
sleep time sleep;SDB;0;70;8;0
mild moderate severe;SDB;0.005201789;71;8;0
HAD;SDB;0;72;8;0
sleepiness sleepiness scale;SDB;0;73;8;0
Classification of sleep disorders;SDB;0;67;8;0
sleep disorder characterized;SDB;-0.022821726;75;8;0
quality index sleepiness;SDB;0;76;8;0
CPAP;EDS;-0.041341464;1;9;0
AHI;EDS;-0.095648304;2;9;0.095648304
ESS;EDS;-0.05043214;3;9;0
OSAS;EDS;0;4;9;0
PD;EDS;0.099913567;5;9;0.099913567
RLS;EDS;0;6;9;0
ADHD;EDS;0.028794855;7;9;0
SDB;EDS;0.065135452;8;9;0
PSG;EDS;-0.018903745;10;9;0
REM;EDS;0;11;9;0
EEG;EDS;-0.09799477;12;9;0.09799477
Insomnia;EDS;0.056238258;13;9;0
QoL;EDS;0;14;9;0
Arousal;EDS;-0.019763666;15;9;0
PSQI;EDS;0;16;9;0
MSLT;EDS;0.092501705;17;9;0.092501705
Narcolepsy;EDS;0.159010528;18;9;0.159010528
PVT;EDS;-0.099056435;19;9;0.099056435
Hypersomnia;EDS;0.07107563;20;9;0
Sleep Quality;EDS;0.029461844;21;9;0
RDI;EDS;0;22;9;0
BMI;EDS;0;23;9;0
children;EDS;0;24;9;0
MWT;EDS;0;25;9;0
ISI;EDS;-0.058689189;26;9;0
